Sr. No.,Sector,Name Of Course,Online,Duration,Required Age,Minimum Education,Requisites,Language,Required Description,For Certification Advanced Module,Video Link To Embed,Project Under Hadp,Skill Training Course,Title Of Lectures,Link Kashmiri Video,Link Urdu Video,Link Dogri Video,Link Hindi Video,Course Language,Uploaded From,Uploaded Date
343,Media & Entertainment,Online Independent Filmmaking Classes by Madhur Bhandarkar,"Paid, Rs.499",003:04 hours,Any,10th Pass,NA,Hindi,"Madhur Bhandarkar worked as a delivery boy for a video cassette library before directing films. Today he is critically acclaimed for making movies from Chandni Bar to Heroine that create a social impact. In his first-ever online class, the National Award winner teaches his approach, from storytelling to editing to working with actors. He practically teaches on set Direction to make hard hitting movies in a small budget.
",https://www.skillindiadigital.gov.in/courses/detail/03ab410e-8ce7-4a38-a9e5-353e32a03c60,null,null,null,null,null,null,null,null,null,,null
344,Media & Entertainment,Online Image Management Classes by Dr. Kuiljeit Uppaal,"Paid, Rs.499",005:49 hours,Any,5th Pass,NA,English,"Dr. Kuiljeit Uppaal is the World's First Image Scientist and an international award-winning Impact Strategist, Educationist, Scientistpreneur, Author and Polymath with over 3 decades of work experience. ",https://www.skillindiadigital.gov.in/courses/detail/ae2b3e78-e7f4-4be5-a396-4ad857e142f4,null,null,null,null,null,null,null,null,null,,null
345,Media & Entertainment,Online Digital 101 Classes by Vivek Bhargava,"Paid, Rs.499",005:37 hours,Any,8th Pass,NA,English,"Former CEO Dentsu (Performance Group) and Co-founder ProfitWheel teaches you how to remain relevant in the Digital Age. He shares his 20 plus years of experience in building one of the largest digital agencies in the country and selling it to Dentsu. Being an Angel investor in 25+ companies, he simplifies Digital Concepts like Blockchain, Web 3.0, Exponential Technologies, etc., and also teaches how they can be applied to Prosper in the Digital Age.
",https://www.skillindiadigital.gov.in/courses/detail/77a869f2-d3ed-4db3-9068-e05f342509e3,null,null,null,null,null,null,null,null,null,,null
346,Media & Entertainment,Online Dance Classes by Ganesh Acharya,"Paid, Rs.499",005:02 hours,Any,5th Pass,NA,Hindi,"Ganesh Acharya is a Celebrity Bollywood Choreographer. He has choreographed every superstar from Govinda to Tiger Shroff and Karishma Kapoor to Katrina Kaif. Ganesh Acharya teaches you everything from basic Dance steps to advanced Dance techniques. He also teaches you how to come up with a signature Dance step for any music.
",https://www.skillindiadigital.gov.in/courses/detail/97d4905a-8718-4080-a9ee-4d038f91072c,null,null,null,null,null,null,null,null,null,,null
347,Media & Entertainment,Online Confidence Building Classes by Manya Singh,"Paid, Rs.499",004:44 hours,Any,8th Pass,NA,English,"Miss India Manya Singh redefines beauty and teaches confidence building to help you achieve your dreams. She is proud of being an auto-rickshaw driver's daughter and wants to inspire millions to stand up for themselves and accomplish their goals. She teaches beauty, pageantry and demystifies how to feel confident inyourownskin.",https://www.skillindiadigital.gov.in/courses/detail/fbe9f710-e75f-4318-b11b-e8b0ae1816e5,null,null,null,null,null,null,null,null,null,,null
348,Media & Entertainment,Online Communication Skills Classes by Sabira Merchant,"Paid, Rs.499",003:26 hours,Any,8th Pass,NA,English,"Ms. Sabira Merchant has trained Priyanka Chopra, Lara Dutta, Yukta Mookhey, Diana Hayden, Aryan Vaid, Raghu Mukherjee for International beauty pageants. In her first-ever online class she teaches Communication skills, Grooming, Body Language, Public Speaking and confidence building to make you into charming personalities. She also teaches her signature Social Etiquette, Art of answering spontaneously with flair & finesse, Corporate Dressing, and Fine Dining Etiquette.
",https://www.skillindiadigital.gov.in/courses/detail/652eb3b1-fc3b-4162-871a-e621474f8c36,null,null,null,null,null,null,null,null,null,,null
349,Media & Entertainment,Online Business Classes by Siddharth Prabhakar,"Paid, Rs.499",003:33 hours,Any,5th Pass,NA,Hindi,"Serial entrepreneur Siddharth Prabhakar started his first business at the age of 14 and created 8 successful ventures that revolutionized school contact training programs. With only himself as the employee to more than 450 employees across India, he believes in Think Big Start Small. Siddharth teaches Mission Business model that has helped more than 80,000 people to successfully launch their online business.
",https://www.skillindiadigital.gov.in/courses/detail/ca381014-1663-4a4e-aacc-c8e98f79bf2e,null,null,null,null,null,null,null,null,null,,null
350,Media & Entertainment,Online Acting Classes by Nawazuddin Siddiqui,"Paid, Rs.499",003:26 hours,Any,5th Pass,NA,Hindi,"Nawazuddin Siddiqui started his acting career with a half-a-minute role in the movie, Sarfarosh. Today, he is one of the most sought-after actors in India and has performed well in almost all genres of movies, from Gangs of Wasseypur to Thackeray. As a trained actor from the National School of Drama (NSD), he uses advanced acting techniques to portray complex characters. In his first-ever acting class, Nawazuddin shows how research is at the core of every great performance.",https://www.skillindiadigital.gov.in/courses/detail/00a3659e-4479-41b4-9494-0bbd70a99a76,null,null,null,null,null,null,null,null,null,,null
351,Apparel Made Ups and Home Furnishing,Diploma in Apparel and  Merchandising,"Paid, Rs.8000",NA,Any,12TH PASS,Any,English,"Discover the dynamic world of apparel and merchandising with our comprehensive 1-Year Diploma in Apparel and Merchandising, offered through the collaboration of the National Skill Development Corporation (NSDC) and Indira Gandhi National Open University (IGNOU). This program is designed to provide you with the knowledge and skills required to excel in the operations of the fashion industry, both locally and internationally. Learn about Fashion Industry Operations, Merchandising Strategies, and international aspects of the fashion industry, including import-export regulations, Booking Management, Product Development, and paid internship opportunities with Market leaders. Key Program Features: Work-Embedded, Industry-led Learning 1 Month of Paid Internship, extendable up to 5 Months after the Completion of the Course. Internship of INR 8000-10,000/- Accomplished Faculty Nationally Recognized Degree Learn Latest Trends in Apparel Industry",https://www.skillindiadigital.gov.in/courses/detail/f0d36d05-4ca4-460c-ab40-6ed4eba79307,null,null,null,null,null,null,null,null,null,,null
352,IT-ITeS,Digital India,Free,01:30 hours,Any,No Formal Education required,NA,English,"Digital India is a flagship programme of the Government of India with a vision to transform India into a digitally empowered society and knowledge economy. With a focus on using technology to drive inclusive growth, the initiative encompasses various key initiatives such as Aadhaar, BHIM UPI, e-Hospital, UMANG, Digi Locker, MyGov, BharatNet, SWAYAM, and more. By enrolling in this course on Digital India, participants will gain insights into these pivotal initiatives, enabling them to access government services efficiently andeffectively.",https://www.skillindiadigital.gov.in/courses/detail/5aa6d06f-8afc-43a3-80cf-321eb757b946,null,null,null,null,null,null,null,null,null,,null
353,People with Disability,Preparing for Inclusion,Free,02:00 hours,Any,NA,NA,English,"This course explores how an organisation should prepare for inclusion. It will cover promoting a vision for inclusion, using key policies to drive inclusion, accessibility, curriculum modelling and, staff development. It will give an overview and insight to organisations on how to move to a more inclusive educational approach. This interactive course consists of self-paced learning modules, videos, exercises and quizzes to test your knowledge, and some reference reading material. There is a final assessment at the end of the course. On successfully completing the course and the assessment a certificate is generated, which you can download and print for future use.On completion of the course, you will learn how to set a vision and mission for preparation of inclusion, consider equality of opportunity, safeguard learners and, understand considerations for establishing a more accessible and inclusive curriculum.",https://www.skillindiadigital.gov.in/courses/detail/8d18b1f9-d46b-4498-a8dd-fc5bf57e1b37,null,null,null,null,null,null,null,null,null,,null
354,People with Disability,Physical Disability,Free,02:00 hours,Any,NA,NA,English,"This course introduces you to the different physical disabilities in order to meet the learning needs of trainees with physical impairments. You will learn how to make reasonable adjustments to your delivery, learning environment and resources to enable trainees with physical disabilities to successfully access learning.This interactive course consists of self-paced learning modules, videos, exercises and quizzes to test your knowledge, and some reference reading material. There is a final assessment at the end of the course. On successfully completing the course and the assessment a certificate is generated, which you can download and print for future use.On completion of the course, you will be well-equipped to accommodate trainees with physical disabilities.",https://www.skillindiadigital.gov.in/courses/detail/476fda6f-e47c-4d8b-9fcf-4866286bcac0,null,null,null,null,null,null,null,null,null,,null
355,"Management,Entrepreneurship and Professional Skills",Global Job Readiness Program,"Paid, Rs.1180",030:00 hours,Any,10th Pass,NA,English,"The Global Job Readiness Program is designed to enhance candidate capabilities across six critical soft skills, namely communication, collaboration, problem solving, innovation, digital literacy and financial literacy. The Program will be offered at two levels of proficiency, namely Foundation and Intermediate and is delivered completely online and on demand. Candidates who successfully complete the program will receive a digital badge and certificate. ",https://www.skillindiadigital.gov.in/courses/detail/f603465d-94d7-4c46-b506-e016d1ef3f89,null,null,null,null,null,null,null,null,null,,null
356,"Management,Entrepreneurship and Professional Skills",Understanding the Customer Services,Free,10:00 hours,Any,Any,NA,English,"This course help us to understand customer needs and expectations,type of customers. enables learning simple techniques for communicating with customers and identifying their needs. Help us to learn closing sales & receive customer feedback, importance of customer satisfaction, etc.",https://www.skillindiadigital.gov.in/courses/detail/a1fabb4a-d467-46d5-a556-ffe5c8b7fac7,null,null,null,null,null,null,null,null,null,,null
357,"Management,Entrepreneurship and Professional Skills",Understanding the Constitutional Values - Citizenship,Free,03:00 hours,Any,Any,NA,English,"This course is an over view of personal values and ethics - honesty, integrity, respecting others, empathy, responsibility towards the society, civic rights and duties to build skills for personal growth. Brainstorm on a responsibility as a citizen of the nation and to maintain a sustainable environment (touch upon Green Skills / Greening as a lifestyle).",https://www.skillindiadigital.gov.in/courses/detail/1a0ac35e-19de-451f-9420-e59c11a4015f,null,null,null,null,null,null,null,null,null,,null
358,"Management,Entrepreneurship and Professional Skills",Prepare for Apprenticeships and Jobs,Free,15:00 hours,Any,Any,NA,English,"This course is about workplace engagement and creating a positive and healthy work environment. Health, hygiene and personal grooming. Preparing for the world of work by creating a basic resume and developing interview skills through mock interviews- virtual interviews, Use of online meeting technologies (Zoom, GMeet) to be added to the ES curriculum as part of Introduction to Gsuite. Online job portals, Understanding apprenticeship, enrolling and applying for apprenticeship on NAPS portal; Gig economy- Registering on private portals such as Urban Company, Helpr. etc.",https://www.skillindiadigital.gov.in/courses/detail/5c84db82-e51e-4805-a215-a00a35c23187,null,null,null,null,null,null,null,null,null,,null
359,"Management,Entrepreneurship and Professional Skills",Knowing about Career Development and Goal Setting,Free,04:00 hours,Any,Any,NA,English,"This course enables key skills needed for career development. Understanding the difference between job and career, what are our interest and abilities. Setting a career path with short & long term goals. Understand about job market through basic research.",https://www.skillindiadigital.gov.in/courses/detail/8568b73d-54d1-4e9c-90b1-8a50fa57f139,null,null,null,null,null,null,null,null,null,,null
360,"Management,Entrepreneurship and Professional Skills",Introduction to Financial And Legal Literacy,Free,10:00 hours,Any,Any,NA,English,"This course is about learning basic concepts of Financial literacy - Needs, Wants, and Luxuries. Money management - Calculating income and monthly expenditures. Basics of banking (types of bank accounts, setting up a bank account, making transactions); knowing about passbooks, ATM/DEBIT/CREDIT cards, and their usage, setting up PIN or OTP-based transactions. Explore online banking (net banking) and mobile banking apps and wallets (Paytm, Google Pay, BHIMA UPI), etc. making secure transactions; Components of salary (basic, PF, TA/DA, HRA, etc. Learn how to calculate salary & taxes, and savings. Understanding loans, the concept of investments; types of investment options '“ and the concept of insurance.",https://www.skillindiadigital.gov.in/courses/detail/e917c47b-aaa8-495b-96e0-2b1126f06bf4,null,null,null,null,null,null,null,null,null,,null
361,"Management,Entrepreneurship and Professional Skills",Introduction to Entrepreneurship Skills,Free,15:00 hours,Any,Any,NA,English,"This course explains the concept of entrepreneurship, the Characteristics and qualities of an entrepreneur; Roles and Responsibilities of an entrepreneur, Types of entrepreneurship and enterprises - types of firms/types of enterprises- Nano, Small, Micro and Medium Enterprises, Key entrepreneurial skills; Identification and Assessment of Entrepreneurial Opportunity- market scan, market analysis, SWOT analysis, etc.  Resources to start a business. Sourcing Funds for Entrepreneurship/Start-Ups Govt Schemes and financial institutions. Share inspiring stories of entrepreneurs - their successes and challenges, and learn from them.",https://www.skillindiadigital.gov.in/courses/detail/451e6f18-1e12-4d4b-8b05-21c70339792a,null,null,null,null,null,null,null,null,null,,null
362,"Management,Entrepreneurship and Professional Skills",Introduction to English Skills,Free,20:00 hours,Any,Any,NA,English,"The lessons in this course help develop the four key skills required to learn a language - Listening, Speaking, Reading and Writing. At the end of the course, learners' will feel an increase in their confidence while using in English.",https://www.skillindiadigital.gov.in/courses/detail/f5ebf053-3561-4ad4-9123-4d130e239173,null,null,null,null,null,null,null,null,null,,null
363,"Management,Entrepreneurship and Professional Skills",Introduction to Employability Skills,Free,03:00 hours,Any,Any,NA,English,"The course deals with an overview of industries/sectors across India and opportunities in these sectors. it also covers simple to complex topics like What is Employability Skills, Importance of ES for the Future of Work, Orientation to Learning and Employability relevant MSDE Portals and Skills needed for a post-covid job market.",https://www.skillindiadigital.gov.in/courses/detail/ebafd0f4-480f-4fa8-8508-7c3e9c9ed2fc,null,null,null,null,null,null,null,null,null,,null
364,"Management,Entrepreneurship and Professional Skills",Introduction to Communication Skills,Free,10:00 hours,Any,Any,NA,English,"This course provides a brief overview of understanding the Importance of effective communication in everyday life and the different types of communication like verbal, non-verbal (posture, body language, eye contact) needed for workplace communication.",https://www.skillindiadigital.gov.in/courses/detail/c64b3a91-0048-4de4-94f2-1f2d128cce3e,null,null,null,null,null,null,null,null,null,,null
365,"Management,Entrepreneurship and Professional Skills",Introduction to 21st Century Skills,Free,05:00 hours,Any,Any,NA,English,"This course is wholesome guide to develop a professional identity in the 21st century. Those includes Time Management, Critical Thinking, Identifying & Creative problem solving. Also lead to learn Self-Awareness, Behavior Skills, Positive attitude and self -motivation, and stress and anger management.",https://www.skillindiadigital.gov.in/courses/detail/5f55fd82-f496-46d8-9221-25ecb10046b6,null,null,null,null,null,null,null,null,null,,null
366,"Management,Entrepreneurship and Professional Skills",Foundational Course on Diversity and Inclusion,Free,05:00 hours,Any,Any,NA,English,"This course includes how the definition of sex, and gender. Understand the difference between sex & gender. Understand that a person's gender can be different from their sex. It enables learners to become aware of their own gendered outlook on people, masculinity and femininity are social constructs. It includes how gender norms lead to gender stereotypes being able to identify gender stereotypes around you and How gender stereotypes affect you",https://www.skillindiadigital.gov.in/courses/detail/8724d7ff-e534-4d94-99ec-0a7bccc07791,null,null,null,null,null,null,null,null,null,,null
367,"Management,Entrepreneurship and Professional Skills",Foundational Skills Program-Advanced Entrepreneurship,Free,025:00 hours,14,No formal education required,NA,English,"Foundational Skills Program is a unique initiative to reach out to rural audience and women in a well-equipped bus furnished with Computer and LED that enable them to access high-end learning from the Skill India Digital Platform. The program covers 4 different modules: Introduction to Foundational Skills Program, Digital Skills, Financial Skills and Entrepreneurship Skills to help enhance their skill portfolio.",https://www.skillindiadigital.gov.in/courses/detail/3a6418d2-434c-4d5a-9970-ac0c9fe7ef02,null,null,null,null,null,null,null,null,null,,null
368,"Management,Entrepreneurship and Professional Skills",Foundational Skills Program-Advanced Employability,Free,030:00 hours,14,8th Pass,NA,English,"Foundational Skills Program is a unique initiative to reach out to wider audience including college and school students in a well-equipped bus furnished with Computer and LED that enable them to access high-end learning from the Skill India Digital Platform. The program covers 4 different modules: Introduction to Foundational Skills Program, Digital Skills, Financial Skills and Employability Skills to help enhance their skill portfolio.",https://www.skillindiadigital.gov.in/courses/detail/e0bc085a-b706-4f1b-9108-acde77875f6f,null,null,null,null,null,null,null,null,null,,null
369,"Management,Entrepreneurship and Professional Skills",Foundational Skills Program - Advanced Retail,Free,029:00 hours,14,No formal education required,NA,English,"Foundational Skills Program - Advanced Retail is a unique initiative to reach out to wider audience in a well-equipped bus furnished with Computer and LED that enable them to access high-end learning from the Skill India Digital Platform. The program covers 4 different modules: Introduction to Foundational Skills Program, Digital Skills, Financial Skills and Retail Skills to help enhance their skill portfolio.",https://www.skillindiadigital.gov.in/courses/detail/78077e01-0cb0-4e7f-850b-ca1c7b0c375e,null,null,null,null,null,null,null,null,null,,null
370,"Management,Entrepreneurship and Professional Skills",Online Communication & Data Security,Free,08:50 hours,Any,No Formal Education required,NA,English,"In this course you will dive into the digital world with confidence, mastering online communication, protecting your information, and navigating the online landscape. You will learn to connect, collaborate, and achieve your goals using online tools, safeguard your devices and data from online threats, evaluate online information critically, and utilize social networks responsibly. Embrace the digital landscape as an informed and ethical digital citizen.",https://www.skillindiadigital.gov.in/courses/detail/4706990a-65a6-4a4a-9ae7-84bacc0b078d,null,null,null,null,null,null,null,null,null,,null
371,"Management,Entrepreneurship and Professional Skills",Obtain an Appropriate Job,Free,12:00 hours,Any,No Formal Education required,NA,English,"Are you ready to embark on an exciting new professional journey? ""Obtain an Appropriate Job"" course is your gateway to secure the job that aligns with your skills, aspirations, and ambitions. This comprehensive course provides you with the knowledge and skills needed to navigate the competitive job market successfully.",https://www.skillindiadigital.gov.in/courses/detail/321da633-00c4-4cba-95d8-020f52e641ba,null,null,null,null,null,null,null,null,null,,null
372,"Management,Entrepreneurship and Professional Skills",Work Productivity Tools,Free,09:05 hours,Any,No Formal Education required,NA,English,"This course will help you master the digital landscape with this comprehensive course bundle that equips you with essential computer skills, productivity tools, and effective online search strategies. You'll acquire the abilities to confidently navigate the digital world by learning the principles of computer and operating system as well as how to create professional documents, spreadsheets, and presentations.",https://www.skillindiadigital.gov.in/courses/detail/37b27f43-a7fd-4bb6-8aa3-8d44cdeff4a5,null,null,null,null,null,null,null,null,null,,null
373,"Management,Entrepreneurship and Professional Skills",Self Management,Free,08:45 hours,Any,No Formal Education required,NA,English,"In this course, you will learn about understanding and managing your emotions, knowing yourself better, staying healthy, having a good attitude, and following values and ethics. You will also discover the importance of learning, maintaining a balanced body and mind, planning tasks, and prioritizing effectively. By the end of this course, you will be more emotionally aware, self-confident, healthy, positive, and skilled at managing tasks.",https://www.skillindiadigital.gov.in/courses/detail/c1b2af43-329f-44f7-a00f-266fec2bc663,null,null,null,null,null,null,null,null,null,,null
374,"Management,Entrepreneurship and Professional Skills",Safety Practices,Free,02:00 hours,Any,No Formal Education required,NA,English,"The Safety Practices module is designed to provide learners with essential knowledge and skills to ensure the safety and well-being of individuals and the environment. This module consists of two comprehensive lessons: ""Basic First Aid"" and ""Health, Environment, and Safety Awareness."" The module is suitable for a wide range of learners, including individuals looking to acquire basic first aid skills and those interested in understanding and promoting health, environmental sustainability.",https://www.skillindiadigital.gov.in/courses/detail/a31300bc-8ea6-43dc-a505-a688df2354a3,null,null,null,null,null,null,null,null,null,,null
375,"Management,Entrepreneurship and Professional Skills",Customer Centricity,Free,06:00 hours,Any,No Formal Education required,NA,English,"This course is a comprehensive journey into customer service and engagement, covering customer segmentation, understanding and handling diverse customer types, building strong customer relationships, and fostering a customer-focused mindset. Participants will learn to differentiate customer types, develop a customer-focused mindset in organizations, and ensure employees embrace this perspective.",https://www.skillindiadigital.gov.in/courses/detail/72f340f0-089b-4ba8-b792-9996976542bf,null,null,null,null,null,null,null,null,null,,null
376,"Management,Entrepreneurship and Professional Skills",Professionalism,Free,10:25 hours,Any,No Formal Education required,NA,English,"This course provides essential skills and knowledge for success in a professional setting, covering change management, result-oriented thinking, goal planning, quality standards, error management, organizational values, ethics, diversity, gender equality, legal compliance (POSH Act), and inclusive behavior.",https://www.skillindiadigital.gov.in/courses/detail/0671513a-de1f-4251-899e-500708b0d7fe,null,null,null,null,null,null,null,null,null,,null
377,"Management,Entrepreneurship and Professional Skills",Problem Solving & Innovation,Free,07:00 hours,Any,No Formal Education required,NA,English,"In this course, you will learn about thinking creatively, coming up with new ideas, and thinking critically to solve problems. You will also learn how to make decisions and use design thinking to solve real-world challenges. By the end of this course, you will be better at thinking creatively, analyzing data, making decisions, and responding effectively to various situations.
",https://www.skillindiadigital.gov.in/courses/detail/066d2552-4cfe-4a8d-9559-07ad84fcb5b9,null,null,null,null,null,null,null,null,null,,null
378,"Management,Entrepreneurship and Professional Skills",Interpersonal Skills,Free,11:00 hours,Any,No Formal Education required,NA,English,"In this course, you will learn about dealing with conflicts, understanding different viewpoints, and how to resolve conflicts to keep relationships strong. You will also discover the power of negotiation, building good relationships with others, effective communication, and comparing products and services. By the end of this course, you will be better at managing conflicts, understanding people, and working together as a team.",https://www.skillindiadigital.gov.in/courses/detail/d51ac16c-9322-408c-9277-1e3a5ea3eac5,null,null,null,null,null,null,null,null,null,,null
379,"Management,Entrepreneurship and Professional Skills",Financial Literacy,Free,06:25 hours,Any,No Formal Education required,NA,English,"In this course, you will learn the importance of banking and various types of bank accounts and their purpose. You will also learn how to open a bank account. You will gain valuable insights into the principles of money management and its significant role in ensuring financial well-being & also learn the different components commonly found in salary slips.",https://www.skillindiadigital.gov.in/courses/detail/310a23d4-4dc1-444b-9f8e-6d81685697a8,null,null,null,null,null,null,null,null,null,,null
380,"Management,Entrepreneurship and Professional Skills",Entrepreneurial Mindset (Hindi),Free,18:00 hours,Any,No Formal Education required,NA,Hindi,"A set of skills that enable people to identify and make the most of opportunities, overcome and learn from setbacks, and succeed in a variety of entrepreneurial settings.",https://www.skillindiadigital.gov.in/courses/detail/f2a15be9-b45f-4ddb-bda5-6a9e8d375bd0,null,null,null,null,null,null,null,null,null,,null
381,"Management,Entrepreneurship and Professional Skills",Entrepreneurial Mindset,Free,18:00 hours,Any,No Formal Education required,NA,English,"Outshine your entrepreneurial spirit with our Entrepreneurship Development Program. Dive deep into essential skills, mindset, and real-world insights, empowering you to confidently navigate the challenges and seize opportunities in the dynamic world of business. ",https://www.skillindiadigital.gov.in/courses/detail/fa229494-d580-4133-889f-3d002c3a2b21,null,null,null,null,null,null,null,null,null,,null
382,"Management,Entrepreneurship and Professional Skills",Self Presentation,Free,05:00 hours,Any,No Formal Education required,NA,English,"Learn to present yourself with confidence and authority in any situation with our Self-Presentation module. This course covers non-verbal communication, making a great first impression, excelling at interviews and group discussions.",https://www.skillindiadigital.gov.in/courses/detail/cc7ec099-7790-4be6-a23d-0a09e9d2271b,null,null,null,null,null,null,null,null,null,,null
383,"Management,Entrepreneurship and Professional Skills",Impactful Writing Skills,Free,08:00 hours,Any,No Formal Education required,NA,English,"Unlock the power of words with our Impactful Writing Skills module. Learn to craft compelling sentences, express your personal experiences and thoughts, write with a clear purpose, and more. Gain the skills needed to create impactful written content in various formats, from emails to resumes to reports.",https://www.skillindiadigital.gov.in/courses/detail/9ee0e603-b39f-49de-aefd-95d627d8b65b,null,null,null,null,null,null,null,null,null,,null
384,"Management,Entrepreneurship and Professional Skills",Effective Speaking Skills,Free,09:00 hours,Any,No Formal Education required,NA,English,"Improve your communication skills and achieve success with our Effective Speaking Skills module. Learn the basics of effective communication, including greetings, phone conversations, and making requests. Discover how to communicate assertively, collaborate effectively, and use techniques for presenting and seeking opinions. These skills will help you excel in workplace conversations and buyer-seller interactions, ensuring you can communicate confidently and effectively in any situation.",https://www.skillindiadigital.gov.in/courses/detail/28a8d3bd-9377-471b-ae0d-e3a64ccde7c8,null,null,null,null,null,null,null,null,null,,null
385,"Management,Entrepreneurship and Professional Skills",Employability Skills (ES-90 hours),Free,90:00 hours,Na,Na,Na,English,"Welcome to the Employability Skills Course. You will find simple, fun and short digital lessons on all the topics in your Employability Skills curriculum. View these digital lessons as many times as you need to feel confident about a topic. Complete the questions, activities and tasks mentioned in the digital lesson to develop your skills faster. Complete the Employability Skills Course to become a confident self-learner, with the power to build your own career path in the 21st century!All the best.Happy learning!",https://www.skillindiadigital.gov.in/courses/detail/6d67e2e5-0f40-4c3e-8843-1b5154c5123e,null,null,null,null,null,null,null,null,null,,null
386,"Management,Entrepreneurship and Professional Skills",Employability Skills (ES-60 hours),Free,60:00 hours,Na,Na,Na,English,"Welcome to the Employability Skills Course. You will find simple, fun and short digital lessons on all the topics in your Employability Skills curriculum. View these digital lessons as many times as you need to feel confident about a topic. Complete the questions, activities and tasks mentioned in the digital lesson to develop your skills faster. Complete the Employability Skills Course to become a confident self-learner, with the power to build your own career path in the 21st century!All the best.Happy learning!",https://www.skillindiadigital.gov.in/courses/detail/08458ef8-4355-42b1-b780-0158e771a043,null,null,null,null,null,null,null,null,null,,null
387,"Management,Entrepreneurship and Professional Skills",Employability Skills (ES-30 hours),Free,30:00 hours,Na,Na,Na,English,"Welcome to the Employability Skills Course. You will find simple, fun and short digital lessons on all the topics in your Employability Skills curriculum. View these digital lessons as many times as you need to feel confident about a topic. Complete the questions, activities and tasks mentioned in the digital lesson to develop your skills faster. Complete the Employability Skills Course to become a confident self-learner, with the power to build your own career path in the 21st century!All the best.Happy learning!",https://www.skillindiadigital.gov.in/courses/detail/133fae1b-2c38-4d20-a151-83da42ca8712,null,null,null,null,null,null,null,null,null,,null
388,"Management,Entrepreneurship and Professional Skills",Employability Skills (ES-120 hours),Free,120:00 hours,NA ,NA,NA,English,"Welcome to the Employability Skills Course. You will find simple, fun and short digital lessons on all the topics in your Employability Skills curriculum. View these digital lessons as many times as you need to feel confident about a topic. Complete the questions, activities and tasks mentioned in the digital lesson to develop your skills faster. Complete the Employability Skills Course to become a confident self-learner, with the power to build your own career path in the 21st century!All the best.Happy learning!",https://www.skillindiadigital.gov.in/courses/detail/c3728876-f0ce-4c72-8ecb-323a482f9f2a,null,null,null,null,null,null,null,null,null,,null
389,Water Management and Plumbing,FITTER 1st YEAR (NSQF LEVEL 4) DRILLING MODULE,Free,120:30 hours,Above 18,10th Pass,NA,English,"This module contains the Drilling of Fitter NSQF with scheduled Theory, Practical and Video references",https://www.skillindiadigital.gov.in/courses/detail/5680db27-8026-42f9-bc26-f7ec57411cfb,null,null,null,null,null,null,null,null,null,,null
390,Retailers Association's,Super Power Retailer Training Program,Free,012:00 hours,Above 18,No Formal Education required,NA,Hindi,"This online course precedes a 2 hours of offline training facilitated by Coca-Cola team for the small and micro-retailers across the nation. Post successful completion of offline training, the candidates will undergo 12-hours online training by enrolling in this course. Through this course, the retailers will gain insights on enhancing the customer experience; profitably managing their inventory, leveraging technology to enhance their day-to-day business operations and  financial concepts.",https://www.skillindiadigital.gov.in/courses/detail/45e5dfa0-b389-461b-8467-dae0f26c3bca,null,null,null,null,null,null,null,null,null,,null
391,Retailers Association's,Service Fulfilment Executive(Version 1.0 & 3.0),Free,05:00 hours,Any,Grade 10 with No Experience required,1 year relevant experience,English,"This course addresses the domain NOSs. This individual in the job role receives & stores goods in retail operations, processes customer orders and delivers the products to the customers at their premises in Retail operations and e-commerce working environment.  S/he engages with the customer for various transactions like accepting and processing payments, customer queries, and product returns.",https://www.skillindiadigital.gov.in/courses/detail/b8184d08-fbb1-4ba5-b123-82b1413a0daa,null,null,null,null,null,null,null,null,null,,null
392,Retailers Association's,Retail Sales Specialist Cum Cashier(Version 1.0 & 3.0 ),Free,08:51 hours,Any,12th grade pass with No Experience Required OR Completed 2nd year of 3-year diploma (after 10th) and pursuing regular diploma with No Experience Required OR 10th grade pass plus 2-year NTC with No Experience Required,NA,English,This course addresses the domain NOSs.Individuals in this position interact with customers by giving specialized service and product demonstrations to maximize business in a retail environment whilst striving for continuous improvements in levels of services rendered. They also provide service at the cashiering point by processing payments towards purchases made by customers.,https://www.skillindiadigital.gov.in/courses/detail/c59d8f1d-35e7-4b3d-a68b-ea4dee086d38,null,null,null,null,null,null,null,null,null,,null
393,Retailers Association's,Retail Sales Specialist Cum Cashier(Hindi)(V1.0 & 3.0 ),Free,08:51 hours,Any,12th grade pass with No Experience Required OR Completed 2nd year of 3-year diploma (after 10th) and pursuing regular diploma with No Experience Required OR 10th grade pass plus 2-year NTC with No Experience Required,NA,Hindi,This course addresses the domain NOSs.Individuals in this position interact with customers by giving specialized service and product demonstrations to maximize business in a retail environment whilst striving for continuous improvements in levels of services rendered. They also provide service at the cashiering point by processing payments towards purchases made by customers.,https://www.skillindiadigital.gov.in/courses/detail/1f5bf8db-924f-43cb-bb80-9f652d812627,null,null,null,null,null,null,null,null,null,,null
394,Retailers Association's,Service Fulfilment Executive(Hindi)(V1.0 & 3.0),Free,05:00 hours,Any,Grade 10 with No Experience required,1 year relevant experience,Hindi,"This course addresses the domain NOSs. This individual in the job role receives & stores goods in retail operations, processes customer orders and delivers the products to the customers at their premises in Retail operations and e-commerce working environment.  S/he engages with the customer for various transactions like accepting and processing payments, customer queries, and product returns. ",https://www.skillindiadigital.gov.in/courses/detail/4c98ace6-c147-4caf-8827-5fdeb6b0b9e7,null,null,null,null,null,null,null,null,null,,null
